               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1193,            0.096655,            0.037333,               0.109,             0.10255,            0.048729,            0.012021,             0.11073,             0.09988,            0.031404,            0.070612,           0.0032653,           0.0032653
                   1,            0.095954,            0.082885,            0.030471,             0.53227,             0.22402,             0.16792,            0.051328,            0.086391,            0.081383,            0.020335,            0.040351,           0.0063373,           0.0063373
                   2,            0.087678,            0.081826,            0.023413,             0.54779,             0.34667,             0.25704,             0.10721,            0.093757,            0.083337,             0.01146,           0.0098256,           0.0091454,           0.0091454
                   3,            0.084143,            0.080888,            0.016524,             0.62831,             0.32116,              0.3148,             0.09502,            0.081349,             0.07834,           0.0081728,            0.008812,            0.008812,            0.008812
                   4,            0.073093,            0.081713,            0.014149,             0.66903,             0.35624,             0.40369,              0.1506,            0.075692,            0.081954,           0.0070442,            0.008812,            0.008812,            0.008812
                   5,            0.069768,            0.081579,            0.011807,              0.4442,             0.67594,             0.62207,             0.30325,             0.06601,            0.078485,           0.0058734,            0.008416,            0.008416,            0.008416
                   6,            0.065504,            0.079287,            0.011101,             0.45728,              0.6738,             0.63037,             0.32547,              0.0669,            0.079568,           0.0054701,             0.00802,             0.00802,             0.00802
                   7,            0.062962,            0.079454,            0.010231,             0.41116,             0.69066,             0.58771,             0.28065,            0.062883,            0.076005,           0.0055998,            0.007624,            0.007624,            0.007624
                   8,            0.061296,            0.078959,           0.0094954,             0.57516,             0.68117,              0.6789,             0.33677,             0.05729,            0.075755,           0.0048353,            0.007228,            0.007228,            0.007228
                   9,            0.059374,            0.074024,           0.0089468,             0.63163,             0.69212,             0.72006,             0.38495,            0.055975,            0.074511,           0.0048368,            0.006832,            0.006832,            0.006832
                  10,            0.057312,            0.077321,           0.0084787,             0.67174,             0.67297,             0.73417,             0.39155,            0.054688,            0.073105,            0.004692,            0.006436,            0.006436,            0.006436
                  11,            0.055595,            0.073742,           0.0088901,             0.78546,              0.6412,             0.73821,             0.39773,            0.054149,            0.073397,           0.0041318,             0.00604,             0.00604,             0.00604
                  12,            0.055327,            0.075453,           0.0081943,             0.68715,             0.72732,             0.76109,             0.40903,            0.052995,            0.073205,           0.0041876,            0.005644,            0.005644,            0.005644
                  13,            0.054144,            0.075484,           0.0077533,             0.79393,             0.66162,             0.75445,             0.41831,            0.051727,            0.072976,           0.0041198,            0.005248,            0.005248,            0.005248
                  14,            0.053764,            0.075102,            0.007809,             0.80299,             0.67462,             0.77266,             0.42117,            0.049842,            0.072408,           0.0039296,            0.004852,            0.004852,            0.004852
                  15,            0.051771,            0.074236,           0.0074987,             0.79436,             0.67458,             0.76023,             0.42687,            0.048708,            0.072239,           0.0041912,            0.004456,            0.004456,            0.004456
                  16,            0.050746,            0.072567,           0.0070664,             0.75616,             0.68765,             0.76368,             0.42889,            0.050104,            0.072056,           0.0038737,             0.00406,             0.00406,             0.00406
                  17,            0.050993,            0.075014,           0.0064116,             0.82027,             0.67542,             0.77052,             0.44133,            0.048264,            0.071368,           0.0035374,            0.003664,            0.003664,            0.003664
                  18,            0.050199,            0.074529,           0.0067253,             0.83463,             0.68018,             0.78104,             0.45014,            0.047795,            0.071489,           0.0035217,            0.003268,            0.003268,            0.003268
                  19,            0.049117,              0.0722,           0.0062276,             0.83158,             0.67656,             0.77495,             0.45309,            0.047146,            0.071088,           0.0036079,            0.002872,            0.002872,            0.002872
                  20,            0.048736,            0.073078,           0.0063996,             0.79997,             0.66052,             0.76435,             0.45395,            0.046561,            0.070786,           0.0039676,            0.002476,            0.002476,            0.002476
                  21,            0.047743,            0.073661,           0.0069062,             0.76554,             0.67736,             0.76751,             0.44784,            0.046188,            0.070586,           0.0041571,             0.00208,             0.00208,             0.00208
                  22,            0.047176,            0.072707,           0.0056167,              0.7826,             0.71844,             0.78742,             0.46474,            0.046021,            0.070464,           0.0034498,            0.001684,            0.001684,            0.001684
                  23,            0.046773,            0.070041,           0.0062565,             0.76518,             0.74316,             0.78382,             0.46045,            0.045879,            0.070259,           0.0035922,            0.001288,            0.001288,            0.001288
                  24,            0.047126,            0.072589,           0.0055188,             0.84236,             0.67591,             0.78764,               0.465,            0.045556,            0.069987,            0.003204,            0.000892,            0.000892,            0.000892
